Sample,Plate ,Well,Date,Notes,Replicate,ng/uL
E24.NC.DY20,SM Plate 1,A1,1/14/2021,,A,0.133
E25.2B.DY20,SM Plate 1,B1,1/14/2021,,A,10.563
E26.1B.DY20,SM Plate 1,C1,1/14/2021,,A,19.198
E26.2B.DY20,SM Plate 1,D1,1/14/2021,,A,19.708
E27.1B.DY20,SM Plate 1,E1,1/14/2021,,A,0.225
E27.2B.DY20,SM Plate 1,F1,1/14/2021,,A,16.534
E28.1B.DY20,SM Plate 1,G1,1/14/2021,,A,18.523
E28.2B.DY20,SM Plate 1,H1,1/14/2021,,A,15.369
E29.1B.DY20,SM Plate 1,A2,1/14/2021,,A,5.055
E29.2B.DY20,SM Plate 1,B2,1/14/2021,,A,8.948
E30.1B.DY20,SM Plate 1,C2,1/14/2021,,A,21.122
E30.2B.DY20,SM Plate 1,D2,1/14/2021,,A,24.007
E31.1B.DY20,SM Plate 1,E2,1/14/2021,,A,14.641
E31.2B.DY20,SM Plate 1,F2,1/14/2021,,A,21.367
E32.1B.DY20,SM Plate 1,G2,1/14/2021,,A,16.658
E32.2B.DY20,SM Plate 1,H2,1/14/2021,,A,19.515
E33.1B.DY20,SM Plate 1,A3,1/14/2021,,A,15.493
E33.2B.DY20,SM Plate 1,B3,1/14/2021,,A,15.871
E34.1B.DY20,SM Plate 1,C3,1/14/2021,,A,13.006
E34.2B.DY20,SM Plate 1,D3,1/14/2021,,A,20.712
E35.1B.DY20,SM Plate 1,E3,1/14/2021,,A,12.162
E35.2B.DY20,SM Plate 1,F3,1/14/2021,,A,9.896
E36.1B.DY20,SM Plate 1,G3,1/14/2021,,A,8.514
E36.2B.DY20,SM Plate 1,H3,1/14/2021,,A,21.419
E51.2B.DY20,SMPlate 3,A1,1/28/2021,leaky,A,16.274
E60.1B.DY20,SMPlate 3,B1,1/28/2021,D,A,12.934
E64.1B.DY20,SMPlate 3,C1,1/28/2021,I,A,13.043
E66.1B.DY20,SMPlate 3,D1,1/28/2021,I,A,11.914
E53.1B.DY20,SMPlate 3,E1,1/28/2021,I,A,12.289
E68.1B.DY20,SMPlate 3,F1,1/28/2021,I,A,2.837
E68.2B.DY20,SMPlate 3,G1,1/28/2021,I,A,17.155
E58.1B.DY20,SMPlate 3,H1,1/28/2021,D,A,10.071
E51.2B.DY20,SMPlate 3,A2,1/28/2021,leaky,B,18.623
E60.1B.DY20,SMPlate 3,B2,1/28/2021,D,B,5.933
E64.1B.DY20,SMPlate 3,C2,1/28/2021,I,B,5.23
E66.1B.DY20,SMPlate 3,D2,1/28/2021,I,B,14.125
E53.1B.DY20,SMPlate 3,E2,1/28/2021,I,B,16.871
E68.1B.DY20,SMPlate 3,F2,1/28/2021,I,B,8.785
E68.2B.DY20,SMPlate 3,G2,1/28/2021,I,B,12.606
E58.1B.DY20,SMPlate 3,H2,1/28/2021,D,B,13.881
E52.1B.DY20,SMPlate 3,A3,1/28/2021,I,A,22.244
E58.2B.DY20,SMPlate 3,B3,1/28/2021,I,A,28.836
E57.1B.DY20,SMPlate 3,C3,1/28/2021,"D,I",A,9.084
E55.1B.DY20,SMPlate 3,D3,1/28/2021,D,A,13.63
E54.2B.DY20,SMPlate 3,E3,1/28/2021,I,A,11.903
E64.2B.DY20,SMPlate 3,F3,1/28/2021,I,A,13.75
E60.2B.DY20,SMPlate 3,G3,1/28/2021,I,A,9.357
E50.2B.DY20,SMPlate 3,H3,1/28/2021,"D,I",A,7.532
E52.1B.DY20,SMPlate 3,A4,1/28/2021,I,B,45.649
E58.2B.DY20,SMPlate 3,B4,1/28/2021,I,B,7.481
E57.1B.DY20,SMPlate 3,C4,1/28/2021,"D,I",B,4.786
E55.1B.DY20,SMPlate 3,D4,1/28/2021,D,B,12.333
E54.2B.DY20,SMPlate 3,E4,1/28/2021,I,B,35.185
E64.2B.DY20,SMPlate 3,F4,1/28/2021,I,B,14.205
E60.2B.DY20,SMPlate 3,G4,1/28/2021,I,B,16.904
E50.2B.DY20,SMPlate 3,H4,1/28/2021,"D,I",B,14.872
E72.2B.DY20,SMPlate 3,A5,1/28/2021,I,A,21.982
E71.2B.DY20,SMPlate 3,B5,1/28/2021,D,A,17.472
E59.1B.DY20,SMPlate 3,C5,1/28/2021,I,A,3.908
E70.1B.DY20,SMPlate 3,D5,1/28/2021,"D,I",A,18.383
E62.1B.DY20,SMPlate 3,E5,1/28/2021,"D,I",A,6.21
E62.2B.DY20,SMPlate 3,F5,1/28/2021,I,A,14.132
E63.2B.DY20,SMPlate 3,G5,1/28/2021,I,A,10.388
E61.1B.DY20,SMPlate 3,H5,1/28/2021,"D,I",A,10.239
E72.2B.DY20,SMPlate 3,A6,1/28/2021,I,B,21.151
E71.2B.DY20,SMPlate 3,B6,1/28/2021,D,B,22.717
E59.1B.DY20,SMPlate 3,C6,1/28/2021,I,B,5.387
E69.2B.DY20,SMPlate 3,D6,1/28/2021,D,A,10.548
E73.NC.DY20,SMPlate 3,E6,1/28/2021,I,A,0.565
E51.1B.DY20,SMPlate 3,F6,1/28/2021,I,A,33.593
E65.2B.DY20,SMPlate 3,G6,1/28/2021,"D,I",A,18.07
E61.2B.DY20,SMPlate 3,H6,1/28/2021,I,A,9.204
E65.1B.DY20,SMPlate 3,A7,1/28/2021,I,A,14.005
E70.2B.DY20,SMPlate 3,B7,1/28/2021,I,A,5.077
E71.1B.DY20,SMPlate 3,C7,1/28/2021,I,A,34.358
E67.1B.DY20,SMPlate 3,D7,1/28/2021,I,A,3.307
E67.2B.DY20,SMPlate 3,E7,1/28/2021,I,A,8.337
E57.2B.DY20,SMPlate 3,F7,1/28/2021,I,A,6.196
E66.2B.DY20,SMPlate 3,G7,1/28/2021,I,A,9.823
E63.1B.DY20,SMPlate 3,H7,1/28/2021,"D,I",A,8.767
E56.NC.DY20,SMPlate 3,A8,1/28/2021,I,A,0.113
E55.2B.DY20,SMPlate 3,B8,1/28/2021,I,A,16.336
E54.1B.DY20,SMPlate 3,C8,1/28/2021,I,A,16.911
E53.2B.DY20,SMPlate 3,D8,1/28/2021,I,A,5.697
E50.1B.DY20,SMPlate 3,E8,1/28/2021,I,A,16.012
E59.2B.DY20,SMPlate 3,F8,1/28/2021,"D,I",A,8.472
E52.2B.DY20,SMPlate 3,G8,1/28/2021,I,A,30.73
E72.1B.DY20,SMPlate 3,H8,1/28/2021,I,A,32.723
E69.1B.DY20,SMPlate 3,A9,1/28/2021,"D,I",A,9.069
E55.2B.DY20,SMPlate 3,B9,1/28/2021,I,B,11.71
E54.1B.DY20,SMPlate 3,C9,1/28/2021,I,B,32.843
E99.WO920,SM Plate 4,A1,2/1/2021,,A,18.215
E112.WO920,SM Plate 4,B1,2/1/2021,,A,18.714
E108.WO920,SM Plate 4,C1,2/1/2021,,A,18.361
E94.WO920,SM Plate 4,D1,2/1/2021,,A,20.889
E80.WO920,SM Plate 4,E1,2/1/2021,,A,12.544
E86.WO920,SM Plate 4,F1,2/1/2021,,A,14.183
E93.WO920,SM Plate 4,G1,2/1/2021,,A,22.451
E78.WO920,SM Plate 4,H1,2/1/2021,,A,10.078
E99.WO920,SM Plate 4,A2,2/1/2021,,B,20.586
E112.WO920,SM Plate 4,B2,2/1/2021,,B,19.068
E108.WO920,SM Plate 4,C2,2/1/2021,,B,21.803
E94.WO920,SM Plate 4,D2,2/1/2021,,B,26.549
E80.WO920,SM Plate 4,E2,2/1/2021,,B,10.792
E86.WO920,SM Plate 4,F2,2/1/2021,,B,12.042
E93.WO920,SM Plate 4,G2,2/1/2021,,B,17.134
E78.WO920,SM Plate 4,H2,2/1/2021,,B,10.789
E79.WO920,SM Plate 4,A3,2/1/2021,,A,8.891
E87.WO920,SM Plate 4,B3,2/1/2021,,A,29.426
E85.WO920,SM Plate 4,C3,2/1/2021,,A,7.27
E111.WO920,SM Plate 4,D3,2/1/2021,,A,23.457
E124.NC.WO920,SM Plate 4,E3,2/1/2021,,A,0.113
E88.WO920,SM Plate 4,F3,2/1/2021,,A,28.439
E96.WO920,SM Plate 4,G3,2/1/2021,,A,20.707
