OME_Sample_Name,Negative Control,Replicate,Sample_ID,Sample_Niskin_flag,Rep_Chem_Bottle,Rep Chem Bottle Niskin Flag,EXPOCODE,Cruise_ID,Section_ID,Station_ID,Cast_number,Niskin_Bottle_No,Niskin_ID,Niskin_flag,Line_ID,SMM_Line#,Date_UTC,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Yearday_UTC,Latitude,Longitude,Depth_bottom,CTDPRES,Depth,ctd_Sigma_theta,ctd_fluorescence,ctd_redox_potential,Altitude,CTDTEMP_ITS90,CTDSAL_PSS78,CTDSAL_flag,Salinity_PSS78,Salinity_flag,CTDOXY,CTDOXY_flag,Oxygen_djg,Oxygen,Oxygen_flag,DIC,DIC_flag,TA,TA_flag,pH_T_measured,TEMP_pH,pH_flag,Carbonate_measured,TEMP_Carbonate,Carbonate_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Ammonium,Ammonium_flag,Chl_a,Chl_a_flag,Methane_CH4,Methane_CH4_flag,SYNECHOCOCCUS,SYNECHOCOCCUS_FLAG,EUK_PHYTOPLANKTON,EUK_PHYTOPLANKTON_FLAG,LARGE_DIATOM,LARGE_DIATOM_FLAG,CRYPTOPHYTE,CRYPTOPHYTE_FLAG,BACTERIA,BACTERIA_FLAG,BACTERIA_HNA,BACTERIA_HNA_FLAG,BACTERIA_LNA,BACTERIA_LNA_FLAG,Time Filtering Start,Time Filtering End,Total_Time_Filtering_min,Volume_filtered,Field_Notes
E2265.1T.WCOA21,FALSE,E2265,10115,2,10116,2,33RO20210613,WCOA21,QC85,1,1,15,11053,2,1,1,2021-06-25,2021,6,25,3:31:57,176.147,51.456,-130.847,1345,31.4,31.1,24.5571,0.101,202.22,1313.9,10.401,32.081,2,NA,9,301.8,2,297,9.736,2,1992,2,2159.5,2,7.8118,25.03,2,NA,NA,9,7.5,2,0.8,2,4.1,2,0.13,2,0.03,2,NA,9,4.122,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,23:48,0:20,32,1000,missing: not collected
E2265.2T.WCOA21,FALSE,E2265,10115,2,10116,2,33RO20210613,WCOA21,QC85,1,1,15,11053,2,1,1,2021-06-25,2021,6,25,3:31:57,176.147,51.456,-130.847,1345,31.4,31.1,24.5571,0.101,202.22,1313.9,10.401,32.081,2,NA,9,301.8,2,297,9.736,2,1992,2,2159.5,2,7.8118,25.03,2,NA,NA,9,7.5,2,0.8,2,4.1,2,0.13,2,0.03,2,NA,9,4.122,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,23:48,0:20,32,1000,missing: not collected
E2265.3T.WCOA21,FALSE,E2265,10115,2,10116,2,33RO20210613,WCOA21,QC85,1,1,15,11053,2,1,1,2021-06-25,2021,6,25,3:31:57,176.147,51.456,-130.847,1345,31.4,31.1,24.5571,0.101,202.22,1313.9,10.401,32.081,2,NA,9,301.8,2,297,9.736,2,1992,2,2159.5,2,7.8118,25.03,2,NA,NA,9,7.5,2,0.8,2,4.1,2,0.13,2,0.03,2,NA,9,4.122,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,23:48,0:20,32,1000,missing: not collected
E2266.1T.WCOA21,FALSE,E2266,60111,2,60112,2,33RO20210613,WCOA21,QC43,6,1,11,11023,2,1,1,2021-06-26,2021,6,26,4:34:16,177.19,52.017,-129.971,130,20.6,20.5,24.2878,0.104,176.55,109.5,11.042,31.691,2,NA,9,290.5,2,287.3,9.416,2,1972.3,2,2147,2,7.8472,25.04,2,NA,NA,9,10.9,2,0.77,2,4.6,2,0.13,2,0.21,2,1.4,2,4.073,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,23:30,0:05,35,1000,missing: not collected
E2266.2T.WCOA21,FALSE,E2266,60111,2,60112,2,33RO20210613,WCOA21,QC43,6,1,11,11023,2,1,1,2021-06-26,2021,6,26,4:34:16,177.19,52.017,-129.971,130,20.6,20.5,24.2878,0.104,176.55,109.5,11.042,31.691,2,NA,9,290.5,2,287.3,9.416,2,1972.3,2,2147,2,7.8472,25.04,2,NA,NA,9,10.9,2,0.77,2,4.6,2,0.13,2,0.21,2,1.4,2,4.073,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,23:30,0:05,35,1000,missing: not collected
E2266.3T.WCOA21,FALSE,E2266,60111,2,60112,2,33RO20210613,WCOA21,QC43,6,1,11,11023,2,1,1,2021-06-26,2021,6,26,4:34:16,177.19,52.017,-129.971,130,20.6,20.5,24.2878,0.104,176.55,109.5,11.042,31.691,2,NA,9,290.5,2,287.3,9.416,2,1972.3,2,2147,2,7.8472,25.04,2,NA,NA,9,10.9,2,0.77,2,4.6,2,0.13,2,0.21,2,1.4,2,4.073,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,23:30,0:05,35,1000,missing: not collected
E2267.1T.WCOA21,FALSE,E2267,70116,2,70118,2,33RO20210613,WCOA21,BS64,7,1,16,11032,2,2,2,2021-06-27,2021,6,27,14:04:31,178.586,48.185,-126.588,2478,26.4,26.2,24.691,0.146,126,2451.8,10.779,32.245,2,NA,9,325.8,2,319.3,10.467,2,1967.9,6,2160.9,2,7.8921,24.95,2,124.9281298,24.98833333,2,1.3,6,0.53,6,0,6,0.06,6,0.05,6,1.5,2,4.06,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,8:45,9:30,45,1000,missing: not collected
E2267.2T.WCOA21,FALSE,E2267,70116,2,70118,2,33RO20210613,WCOA21,BS64,7,1,16,11032,2,2,2,2021-06-27,2021,6,27,14:04:31,178.586,48.185,-126.588,2478,26.4,26.2,24.691,0.146,126,2451.8,10.779,32.245,2,NA,9,325.8,2,319.3,10.467,2,1967.9,6,2160.9,2,7.8921,24.95,2,124.9281298,24.98833333,2,1.3,6,0.53,6,0,6,0.06,6,0.05,6,1.5,2,4.06,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,8:45,9:30,45,1000,missing: not collected
E2267.3T.WCOA21,FALSE,E2267,70116,2,70118,2,33RO20210613,WCOA21,BS64,7,1,16,11032,2,2,2,2021-06-27,2021,6,27,14:04:31,178.586,48.185,-126.588,2478,26.4,26.2,24.691,0.146,126,2451.8,10.779,32.245,2,NA,9,325.8,2,319.3,10.467,2,1967.9,6,2160.9,2,7.8921,24.95,2,124.9281298,24.98833333,2,1.3,6,0.53,6,0,6,0.06,6,0.05,6,1.5,2,4.06,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,8:45,9:30,45,1000,missing: not collected
E2268.1T.WCOA21,FALSE,E2268,120111,2,120110,2,33RO20210613,WCOA21,BS14,12,1,11,11023,2,2,2,2021-06-28,2021,6,28,1:48:24,179.075,48.718,-125.677,167,30.3,30,25.0135,0.051,152.24,137,9.027,32.367,2,NA,9,157.4,2,162,5.315,2,2143.9,2,2199.2,2,7.4969,25.11,2,62.92994388,25.2,2,44.4,2,2.17,2,25.7,2,0.29,2,0.83,2,0.5,2,24.458,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,6:15,7:00,45,1000,missing: not collected
