samp_name,Sequential G3 Sample No.,Biological Replicate No. (if applicable),Technical Replicate No. (if applicable),Negative control,Cruise/ Expedition ID,expedition_id,expedition_name,samp_category,materialSampleID,neg_cont_type,pos_cont_type,eventDate,verbatimEventDate,env_medium,organism,habitat_natural_artificial_0_1,env_broad_scale,env_local_scale,filter_passive_active_0_1,stationed_sample_dur,pump_flow_rate,pump_flow_rate_unit,prefilter_material,size_frac_low,sample_derived_from,sample_composed_of,samp_collect_device,samp_store_method_additional,size_frac,filter_diameter,filter_surface_area,filter_material,filter_name,precip_chem_prep,precip_force_prep,precip_time_prep,precip_temp_prep,prepped_samp_store_temp,prepped_samp_store_sol,prep_method_additional,line_id,station_id,verbatimStationName,ctd_cast_number,rov_dive_number,samp_collect_method,samp_collect_notes,ctd_bottle_number,rosette_position,maximumDepthInMeters,minimumDepthInMeters,DepthInMeters_method,maximumDepthInMeters_standard_deviation,altitude,altitude_unit,altitude_method,tot_depth_water_col,tot_depth_water_col_method,elev,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLatitude_standard_deviation,decimalLongitude,decimalLongitude_standard_deviation,eventDurationValue,verbatimEventTime,samp_size,samp_size_unit,samp_store_temp,samp_store_sol,dna_store_loc,samp_vol_we_dna_ext,samp_vol_we_dna_ext_unit,samp_weather,temp,temp_standard_deviation,ph,pH_free,pH_total,salinity,conductivity,diss_oxygen,diss_oxygen_unit,methane,methane_unit,hydrogen,hydrogen_unit,beam_attenuation,beam_attenuation_unit,dNTU,turbidity,orp,orp_unit,dE/dt,fluorescence,fluorescence_unit,chlorophyll,theta,sigma_theta,nitrate,nitrate_unit,nitrite,nitrite_unit,ammonium,ammonium_unit,phosphate,phosphate_unit,silicate,silicate_unit,tot_alkalinity,tot_alkalinity_unit,pco2,pco2_unit,percent_d3He,measurements_from,collected_by,extract_id,extract_plate,extract_well_number,extract_well_position,date_ext,concentration,concentration_unit,dna_yield,dna_yield_unit,ratioOfAbsorbance260_280,nucl_acid_ext_lysis,nucl_acid_ext_sep,nucl_acid_ext,nucl_acid_ext_kit,nucl_acid_ext_modify,dna_cleanup_0_1,dna_cleanup_method,concentration_method,pool_dna_num,nucl_acid_ext_method_additional,associatedSequences,Unnamed: 141,Unnamed: 142,Unnamed: 143
E1642.FKt23,1642.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-01_2,not applicable: sample group,not applicable: sample group,2023-03-10T04:25:17Z,2023-03-10,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Puy des Folles,Puy des Folles,T23A-01,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow1 S->N along axis - Field Notes: Oldest part of plume. Particles but no ORP.; Filtered at the Niskin (as are most others unless noted),2,2,1952.502,1951.502,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,286.726,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,2239.228,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.46550947,missing: not collected,-45.64322369,missing: not collected,T0S/T1S,4:25:17,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.7246,missing: not collected,7.882687368,missing: not collected,missing: not collected,34.9949,3.3158,235.032,µM,1.460936871,nM,1.615647891,nM,0.5541,1/m,0.0115,missing: not collected,133.74495,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,3.5636,27.8269,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,1.47,ng/µL,0.07,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1643.FKt23,1643.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-01_6,not applicable: sample group,not applicable: sample group,2023-03-10T05:59:24Z,2023-03-10,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Puy des Folles,Puy des Folles,T23A-01,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow1 S->N along axis - Field Notes: Small ORP bump,6,6,1912.404,1911.404,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,17.18,m,Measurement from altitude sensor on CTD.,1924.392,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.49265483,missing: not collected,-45.64283942,missing: not collected,T0S/T1S,5:59:24,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.7293,missing: not collected,7.883746193,missing: not collected,missing: not collected,34.9951,3.3146,233.849,µM,2.612829403,nM,3.529180163,nM,0.5546,1/m,0.0129,missing: not collected,129.76222,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,3.5721,27.8262,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,0.973,ng/µL,0.05,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1644.FKt23,1644.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-01_7,not applicable: sample group,not applicable: sample group,2023-03-10T06:11:04Z,2023-03-10,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Puy des Folles,Puy des Folles,T23A-01,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow1 S->N along axis - Field Notes: Clear ORP bump,7,7,1910.259,1909.259,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,23.63,m,Measurement from altitude sensor on CTD.,1937.435,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.49637326,missing: not collected,-45.64275386,missing: not collected,T0S/T1S,6:11:04,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.7142,missing: not collected,7.884037159,missing: not collected,missing: not collected,34.9943,3.3131,233.841,µM,3.394005778,nM,5.539123238,nM,0.5558,1/m,0.0164,missing: not collected,124.73471,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,3.5574,27.827,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,0.86,ng/µL,0.04,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1645.FKt23,1645.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-01_10,not applicable: sample group,not applicable: sample group,2023-03-10T07:03:42Z,2023-03-10,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Puy des Folles,Puy des Folles,T23A-01,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow1 S->N along axis - Field Notes: ~150m off bottom. Large particle plume,10,10,1851.682,1850.682,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,109.059,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,1960.741,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.51522106,missing: not collected,-45.64259424,missing: not collected,T0S/T1S,7:03:42,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.9041,missing: not collected,7.882944465,missing: not collected,missing: not collected,35.003,3.3284,232.638,µM,6.057543122,nM,6.925725875,nM,0.5768,1/m,0.0499,missing: not collected,111.82231,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,3.7503,27.8144,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,4.1,ng/µL,0.21,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1646.FKt23,1646.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-01_11,not applicable: sample group,not applicable: sample group,2023-03-10T07:17:05Z,2023-03-10,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Puy des Folles,Puy des Folles,T23A-01,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow1 S->N along axis - Field Notes: 30m off bottom. Large particle and ORP.,11,11,1941.072,1940.072,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,26.93,m,Measurement from altitude sensor on CTD.,1972.943,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.52000518,missing: not collected,-45.64269218,missing: not collected,T0S/T1S,7:17:05,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.6856,missing: not collected,7.879853451,missing: not collected,missing: not collected,34.9922,3.3116,234.007,µM,3.837357634,nM,9.436708174,nM,0.5542,1/m,0.0069,missing: not collected,102.8297,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,3.5263,27.8284,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,2.12,ng/µL,0.11,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1647.FKt23,1647.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-02_7,not applicable: sample group,not applicable: sample group,2023-03-11T01:15:47Z,2023-03-11,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Puy des Folles,Puy des Folles,T23A-02,not applicable,https://doi.org/10.5281/zenodo.11398178,"Additional Location Description: Tow2 W->E across Tow1 line at max signal - Field Notes: 0.05 LSS, large ORP drop, start of plume; Bottle taken off and inverted to mix settled particles",7,7,1905.103,1904.103,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,46.48,m,Measurement from altitude sensor on CTD.,1961.681,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.51594855,missing: not collected,-45.64071716,missing: not collected,T0S/T1S,1:15:47,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.7538,missing: not collected,7.884709482,missing: not collected,missing: not collected,34.9962,3.3166,234.249,µM,2.526332478,nM,1.735279118,nM,0.5452,1/m,0.0301,missing: not collected,116.46716,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,3.597,27.8245,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,0.86,ng/µL,0.04,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1648.FKt23,1648.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-02_8,not applicable: sample group,not applicable: sample group,2023-03-11T01:17:50Z,2023-03-11,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Puy des Folles,Puy des Folles,T23A-02,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow2 W->E across Tow1 line at max signal - Field Notes: deeper sample bottom of plume; Bottle taken off and inverted to mix settled particles,8,8,1925.582,1924.582,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,33,m,Measurement from altitude sensor on CTD.,1956.79,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.51595432,missing: not collected,-45.64010005,missing: not collected,T0S/T1S,1:17:50,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.7016,missing: not collected,7.884981798,missing: not collected,missing: not collected,34.9934,3.3125,234.699,µM,2.743651401,nM,3.369975234,nM,0.5483,1/m,0.0387,missing: not collected,108.22477,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,3.5436,27.8276,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,0.7,ng/µL,0.04,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1649.FKt23,1649.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_S491_4,not applicable: sample group,not applicable: sample group,2023-03-12T08:30:23Z,2023-03-12,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Birthday Chimney,Puy des Folles - Birthday Chimney,not applicable,S491,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: S491-NISKIN-22-N3N4 - Additional Location Description: Exploration to find HT vents - Field Notes: Diffuse venting near black smoker; Very slight leak in bottle; dripped while sampling,4,4,1942.23,1941.23,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,0,m,Measurement from altitude sensor on Remotely Operated Vehicle.,1942.23,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.513792,missing: not collected,-45.636402,missing: not collected,T0S/T1S,8:30:23,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.66,missing: not collected,missing: not collected,missing: not collected,missing: not collected,34.997,missing: not collected,missing: not collected,not applicable,2.284130531,nM,2.91028012,nM,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from ROV data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,0.987,ng/µL,0.05,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1650.FKt23,1650.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_S491_5,not applicable: sample group,not applicable: sample group,2023-03-12T08:44:00Z,2023-03-12,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Birthday Chimney,Puy des Folles - Birthday Chimney,not applicable,S491,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: S491-NISKIN-21-N2N5 - Additional Location Description: Exploration to find HT vents - Field Notes: Diffuse venting on cliff approach to black smoker; Niskins fixed to the ROV,5,5,1939.93,1938.93,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,5.5,m,Measurement from altitude sensor on Remotely Operated Vehicle.,1945.43,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,20.513787,missing: not collected,-45.636415,missing: not collected,T0S/T1S,8:44:00,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.63,missing: not collected,missing: not collected,missing: not collected,missing: not collected,34.996,missing: not collected,missing: not collected,not applicable,2.491778762,nM,2.666405022,nM,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from ROV data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,0.747,ng/µL,0.04,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1651.NC.FKt23,1651.0,,,True,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,negative control,not applicable: control sample,field negative,not applicable: control sample,2023-03-12,2023-03-12,not applicable: control sample,not applicable: control sample,1,not applicable: control sample,not applicable: control sample,1,not applicable: control sample,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable: control sample,not applicable: control sample,RO water was collected in a sterile bottle then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,https://doi.org/10.5281/zenodo.11398178,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,missing: not collected,missing: not collected,2000,mL,not applicable: control sample,not applicable: control sample,OME -80 Freezer,2000,mL,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,Sean McAllister,Falkor_Extraction1,not applicable,not applicable,not applicable,2023-03-13,BDL,not applicable,not applicable,not applicable,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
