samp_name,Sequential G3 Sample No.,Biological Replicate No. (if applicable),Technical Replicate No. (if applicable),Negative control,Cruise/ Expedition ID,expedition_id,expedition_name,samp_category,materialSampleID,neg_cont_type,pos_cont_type,eventDate,verbatimEventDate,env_medium,organism,habitat_natural_artificial_0_1,env_broad_scale,env_local_scale,filter_passive_active_0_1,stationed_sample_dur,pump_flow_rate,pump_flow_rate_unit,prefilter_material,size_frac_low,sample_derived_from,sample_composed_of,samp_collect_device,samp_store_method_additional,size_frac,filter_diameter,filter_surface_area,filter_material,filter_name,precip_chem_prep,precip_force_prep,precip_time_prep,precip_temp_prep,prepped_samp_store_temp,prepped_samp_store_sol,prep_method_additional,line_id,station_id,verbatimStationName,ctd_cast_number,rov_dive_number,samp_collect_method,samp_collect_notes,ctd_bottle_number,rosette_position,maximumDepthInMeters,minimumDepthInMeters,DepthInMeters_method,maximumDepthInMeters_standard_deviation,altitude,altitude_unit,altitude_method,tot_depth_water_col,tot_depth_water_col_method,elev,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLatitude_standard_deviation,decimalLongitude,decimalLongitude_standard_deviation,eventDurationValue,verbatimEventTime,samp_size,samp_size_unit,samp_store_temp,samp_store_sol,dna_store_loc,samp_vol_we_dna_ext,samp_vol_we_dna_ext_unit,samp_weather,temp,temp_standard_deviation,ph,pH_free,pH_total,salinity,conductivity,diss_oxygen,diss_oxygen_unit,methane,methane_unit,hydrogen,hydrogen_unit,beam_attenuation,beam_attenuation_unit,dNTU,turbidity,orp,orp_unit,dE/dt,fluorescence,fluorescence_unit,chlorophyll,theta,sigma_theta,nitrate,nitrate_unit,nitrite,nitrite_unit,ammonium,ammonium_unit,phosphate,phosphate_unit,silicate,silicate_unit,tot_alkalinity,tot_alkalinity_unit,pco2,pco2_unit,percent_d3He,measurements_from,collected_by,extract_id,extract_plate,extract_well_number,extract_well_position,date_ext,concentration,concentration_unit,dna_yield,dna_yield_unit,ratioOfAbsorbance260_280,nucl_acid_ext_lysis,nucl_acid_ext_sep,nucl_acid_ext,nucl_acid_ext_kit,nucl_acid_ext_modify,dna_cleanup_0_1,dna_cleanup_method,concentration_method,pool_dna_num,nucl_acid_ext_method_additional,associatedSequences,Unnamed: 141,Unnamed: 142,Unnamed: 143
E2128.1B.OC0919,2128.0,1.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP2,not applicable: sample group,not applicable: sample group,2019-10-02T20:30:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA015,OCNMS - Cape Alava - near shore - CANS,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP2 - Additional Location Description: CANS,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.978',124° 45.410',degrees minutes seconds,WGS84,48.1663,missing: not collected,-124.7568333,missing: not collected,T0S/T1S,20:30:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.85,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.29,3.71,8.22,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.9276,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524520 | SAMN23524474 | SAMN23524428 | SAMN23524382,,,
E2128.2B.OC0919,2128.0,2.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP35,not applicable: sample group,not applicable: sample group,2019-10-02T20:30:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA015,OCNMS - Cape Alava - near shore - CANS,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP35 - Additional Location Description: CANS,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.978',124° 45.410',degrees minutes seconds,WGS84,48.1663,missing: not collected,-124.7568333,missing: not collected,T0S/T1S,20:30:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.85,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.29,3.71,8.22,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.9276,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524521 | SAMN23524475 | SAMN23524429 | SAMN23524383,,,
E2128.3B.OC0919,2128.0,3.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP24,not applicable: sample group,not applicable: sample group,2019-10-02T20:30:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA015,OCNMS - Cape Alava - near shore - CANS,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP24 - Additional Location Description: CANS,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.978',124° 45.410',degrees minutes seconds,WGS84,48.1663,missing: not collected,-124.7568333,missing: not collected,T0S/T1S,20:30:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.85,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.29,3.71,8.22,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.9276,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524522 | SAMN23524476 | SAMN23524430 | SAMN23524384,,,
E2128.4B.OC0919,2128.0,4.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP30,not applicable: sample group,not applicable: sample group,2019-10-02T20:30:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA015,OCNMS - Cape Alava - near shore - CANS,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP30 - Additional Location Description: CANS,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.978',124° 45.410',degrees minutes seconds,WGS84,48.1663,missing: not collected,-124.7568333,missing: not collected,T0S/T1S,20:30:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.85,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.29,3.71,8.22,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.9276,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524523 | SAMN23524477 | SAMN23524431 | SAMN23524385,,,
E2129.1B.OC0919,2129.0,1.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP1,not applicable: sample group,not applicable: sample group,2019-10-02T19:00:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA042,OCNMS - Cape Alava - 42 m depth - CA42,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP1 - Additional Location Description: CA42,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.961',124° 49.402,degrees minutes seconds,WGS84,48.16601667,missing: not collected,-124.8233667,missing: not collected,T0S/T1S,19:00:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.65,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.16,3.68,8.75,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.81,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524524 | SAMN23524478 | SAMN23524432 | SAMN23524386,,,
E2129.2B.OC0919,2129.0,2.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP13,not applicable: sample group,not applicable: sample group,2019-10-02T19:00:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA042,OCNMS - Cape Alava - 42 m depth - CA42,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP13 - Additional Location Description: CA42,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.961',124° 49.402,degrees minutes seconds,WGS84,48.16601667,missing: not collected,-124.8233667,missing: not collected,T0S/T1S,19:00:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.65,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.16,3.68,8.75,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.81,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524525 | SAMN23524479 | SAMN23524433 | SAMN23524387,,,
E2129.3B.OC0919,2129.0,3.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP3,not applicable: sample group,not applicable: sample group,2019-10-02T19:00:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA042,OCNMS - Cape Alava - 42 m depth - CA42,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP3 - Additional Location Description: CA42,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.961',124° 49.402,degrees minutes seconds,WGS84,48.16601667,missing: not collected,-124.8233667,missing: not collected,T0S/T1S,19:00:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.65,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.16,3.68,8.75,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.81,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524526 | SAMN23524480 | SAMN23524434 | SAMN23524388,,,
E2129.4B.OC0919,2129.0,4.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP4,not applicable: sample group,not applicable: sample group,2019-10-02T19:00:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA042,OCNMS - Cape Alava - 42 m depth - CA42,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP4 - Additional Location Description: CA42,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.961',124° 49.402,degrees minutes seconds,WGS84,48.16601667,missing: not collected,-124.8233667,missing: not collected,T0S/T1S,19:00:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.65,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.16,3.68,8.75,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.81,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524527 | SAMN23524481 | SAMN23524435 | SAMN23524389,,,
E2129.5B.OC0919,2129.0,5.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP25,not applicable: sample group,not applicable: sample group,2019-10-02T19:00:00Z,2019-10-02,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CA042,OCNMS - Cape Alava - 42 m depth - CA42,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP25 - Additional Location Description: CA42,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,48° 09.961',124° 49.402,degrees minutes seconds,WGS84,48.16601667,missing: not collected,-124.8233667,missing: not collected,T0S/T1S,19:00:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,11.65,missing: not collected,missing: not collected,missing: not collected,missing: not collected,32.16,3.68,8.75,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.81,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524528 | SAMN23524482 | SAMN23524436 | SAMN23524390,,,
E2130.1B.OC0919,2130.0,1.0,,False,OC0919,OC0919,OC0919: R/V Tatoosh OCNMS Fall 2019,sample,OC0919_CP12,not applicable: sample group,not applicable: sample group,2019-09-30T20:00:00Z,2019-09-30,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Nalgene Bottle,Water samples were collected using sterile Nalgene bottles then filtered through a 0.45 micron MCE disc filter using a vacuum pump.,0.45,47,1734.94,cellulose ester,Sterlitech Disposable Filter Funnel,not applicable,not applicable,not applicable,not applicable,-20,lysis buffer,Filters were stored in 750 µL CTAB at -20˚C.,not applicable,CE015,OCNMS - Cape Elizabeth - near shore - CENS,missing: not collected,not applicable,https://doi.org/10.5281/zenodo.16755251,Field Sample Name: CP12 - Additional Location Description: CENS,not applicable,not applicable,0.0,0,Surface samples are taken from the same maximumDepthInMeters and minimumDepthInMeters (0 m).,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,0,47° 21.407',124° 20.888',degrees minutes seconds,WGS84,47.35678333,missing: not collected,-124.3481333,missing: not collected,T0S/T1S,20:00:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,14.96,missing: not collected,missing: not collected,missing: not collected,missing: not collected,31.38,3.89,8.71,mg/L,missing: not collected,not applicable,missing: not collected,not applicable,0.7,1/m,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Christopher Paight,Paight_1,not applicable,not applicable,not applicable,2020-01-02,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,physical | enzymatic | thermal,column-based,missing: not provided,missing: not provided,missing: not provided,0,not applicable,missing: not collected,1,Extracted by Chris Paight in 2019; quantified in 2024 by HW/ZG,SAMN23524529 | SAMN23524483 | SAMN23524437 | SAMN23524391,,,
