samp_name,Sequential G3 Sample No.,Biological Replicate No. (if applicable),Technical Replicate No. (if applicable),Negative control,Cruise/ Expedition ID,expedition_id,expedition_name,samp_category,materialSampleID,neg_cont_type,pos_cont_type,eventDate,verbatimEventDate,env_medium,organism,habitat_natural_artificial_0_1,env_broad_scale,env_local_scale,filter_passive_active_0_1,stationed_sample_dur,pump_flow_rate,pump_flow_rate_unit,prefilter_material,size_frac_low,sample_derived_from,sample_composed_of,samp_collect_device,samp_store_method_additional,size_frac,filter_diameter,filter_surface_area,filter_material,filter_name,precip_chem_prep,precip_force_prep,precip_time_prep,precip_temp_prep,prepped_samp_store_temp,prepped_samp_store_sol,prep_method_additional,line_id,station_id,verbatimStationName,ctd_cast_number,rov_dive_number,samp_collect_method,samp_collect_notes,ctd_bottle_number,rosette_position,maximumDepthInMeters,minimumDepthInMeters,DepthInMeters_method,maximumDepthInMeters_standard_deviation,altitude,altitude_unit,altitude_method,tot_depth_water_col,tot_depth_water_col_method,elev,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLatitude_standard_deviation,decimalLongitude,decimalLongitude_standard_deviation,eventDurationValue,verbatimEventTime,samp_size,samp_size_unit,samp_store_temp,samp_store_sol,dna_store_loc,samp_vol_we_dna_ext,samp_vol_we_dna_ext_unit,samp_weather,temp,temp_standard_deviation,ph,pH_free,pH_total,salinity,conductivity,diss_oxygen,diss_oxygen_unit,methane,methane_unit,hydrogen,hydrogen_unit,beam_attenuation,beam_attenuation_unit,dNTU,turbidity,orp,orp_unit,dE/dt,fluorescence,fluorescence_unit,chlorophyll,theta,sigma_theta,nitrate,nitrate_unit,nitrite,nitrite_unit,ammonium,ammonium_unit,phosphate,phosphate_unit,silicate,silicate_unit,tot_alkalinity,tot_alkalinity_unit,pco2,pco2_unit,percent_d3He,measurements_from,collected_by,extract_id,extract_plate,extract_well_number,extract_well_position,date_ext,concentration,concentration_unit,dna_yield,dna_yield_unit,ratioOfAbsorbance260_280,nucl_acid_ext_lysis,nucl_acid_ext_sep,nucl_acid_ext,nucl_acid_ext_kit,nucl_acid_ext_modify,dna_cleanup_0_1,dna_cleanup_method,concentration_method,pool_dna_num,nucl_acid_ext_method_additional,associatedSequences,Unnamed: 141,Unnamed: 142,Unnamed: 143
E334.NC.RC50,334.0,,,True,RC50,RC0050,RC0050: Salish Methane Seeps 2021,negative control,not applicable: control sample,field negative,not applicable: control sample,2021-03-31,2021-03-31,not applicable: control sample,not applicable: control sample,1,not applicable: control sample,not applicable: control sample,1,not applicable: control sample,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable: control sample,not applicable: control sample,RO water was collected in a sterile bottle then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,https://doi.org/10.5281/zenodo.11398178,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,missing: not collected,missing: not collected,1000,mL,not applicable: control sample,not applicable: control sample,OME -80 Freezer,1000,mL,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,not applicable: control sample,Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_4,not applicable,not applicable,not applicable,2022-02-10,1.2,ng/µL,0.12,ng DNA/mL seawater,1.85,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E335.RC50,335.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V1_1,not applicable: sample group,not applicable: sample group,2021-03-31T16:15:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Alki Point,"Salish Sea - Alki Point Methane Seep, Mooring",RC50-V1,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V1-1,1,1,149.8,148.8,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,7.2,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,157,missing: not collected,0,47° 33.420' N,122°25.020' W,degrees minutes seconds,WGS84,47.557,missing: not collected,-122.417,missing: not collected,T0S/T1S,16:15:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.2,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.8,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,4.3,ng/µL,0.43,ng DNA/mL seawater,2.28,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E336.RC50,336.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V1_3,not applicable: sample group,not applicable: sample group,2021-03-31T16:15:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Alki Point,"Salish Sea - Alki Point Methane Seep, Mooring",RC50-V1,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V1-3,3,3,140.1,139.1,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,16.9,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,157,missing: not collected,0,47° 33.420' N,122°25.020' W,degrees minutes seconds,WGS84,47.557,missing: not collected,-122.417,missing: not collected,T0S/T1S,16:15:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.2,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.8,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,27.7,ng/µL,2.77,ng DNA/mL seawater,2.11,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E337.RC50,337.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V1_5,not applicable: sample group,not applicable: sample group,2021-03-31T16:15:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Alki Point,"Salish Sea - Alki Point Methane Seep, Mooring",RC50-V1,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V1-5,5,5,125,124,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,32,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,157,missing: not collected,0,47° 33.420' N,122°25.020' W,degrees minutes seconds,WGS84,47.557,missing: not collected,-122.417,missing: not collected,T0S/T1S,16:15:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.2,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.7,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,6.4,ng/µL,0.64,ng DNA/mL seawater,2.28,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E338.RC50,338.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V1_6,not applicable: sample group,not applicable: sample group,2021-03-31T16:15:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Alki Point,"Salish Sea - Alki Point Methane Seep, Mooring",RC50-V1,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V1-6,6,6,100,99,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,57,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,157,missing: not collected,0,47° 33.420' N,122°25.020' W,degrees minutes seconds,WGS84,47.557,missing: not collected,-122.417,missing: not collected,T0S/T1S,16:15:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.2,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.6,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,12.1,ng/µL,1.21,ng DNA/mL seawater,2.04,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E339.RC50,339.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V1_7,not applicable: sample group,not applicable: sample group,2021-03-31T16:15:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Alki Point,"Salish Sea - Alki Point Methane Seep, Mooring",RC50-V1,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V1-7,7,7,75,74,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,82,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,157,missing: not collected,0,47° 33.420' N,122°25.020' W,degrees minutes seconds,WGS84,47.557,missing: not collected,-122.417,missing: not collected,T0S/T1S,16:15:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.2,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.5,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,15.2,ng/µL,1.52,ng DNA/mL seawater,2.25,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E340.RC50,340.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V1_8,not applicable: sample group,not applicable: sample group,2021-03-31T16:15:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Alki Point,"Salish Sea - Alki Point Methane Seep, Mooring",RC50-V1,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V1-8,8,8,50,49,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,107,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,157,missing: not collected,0,47° 33.420' N,122°25.020' W,degrees minutes seconds,WGS84,47.557,missing: not collected,-122.417,missing: not collected,T0S/T1S,16:15:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.3,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.3,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,13.9,ng/µL,1.39,ng DNA/mL seawater,3.01,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E341.RC50,341.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V1_9,not applicable: sample group,not applicable: sample group,2021-03-31T16:15:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Alki Point,"Salish Sea - Alki Point Methane Seep, Mooring",RC50-V1,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V1-9,9,9,25,24,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,132,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,157,missing: not collected,0,47° 33.420' N,122°25.020' W,degrees minutes seconds,WGS84,47.557,missing: not collected,-122.417,missing: not collected,T0S/T1S,16:15:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.4,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.2,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,16,ng/µL,1.60,ng DNA/mL seawater,2.3,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E342.RC50,342.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V1_10,not applicable: sample group,not applicable: sample group,2021-03-31T16:15:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine photic zone [ENVO:00000209],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Alki Point,"Salish Sea - Alki Point Methane Seep, Mooring",RC50-V1,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V1-10,10,10,1,0,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,156,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,157,missing: not collected,0,47° 33.420' N,122°25.020' W,degrees minutes seconds,WGS84,47.557,missing: not collected,-122.417,missing: not collected,T0S/T1S,16:15:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.5,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.1,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,83.8,ng/µL,8.38,ng DNA/mL seawater,2.32,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
E343.RC50,343.0,,,False,RC50,RC0050,RC0050: Salish Methane Seeps 2021,sample,RC50-V2_1,not applicable: sample group,not applicable: sample group,2021-03-31T18:34:00Z,2021-03-31,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,WOAC P29,Salish Sea - WOAC Station P29,RC50-V2,not applicable,https://doi.org/10.5281/zenodo.11398178,Field Sample Name: RC50-V2-1 - Additional Location Description: Mid-Basin near Alki,1,1,216.9,215.9,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,4.6,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,221.5,missing: not collected,0,47˚ 33.360' N,122˚ 26.521' W,degrees minutes seconds,WGS84,47.556,missing: not collected,-122.4420167,missing: not collected,T0S/T1S,18:34:00,1000,mL,ambient temperature,not applicable,OME -80 Freezer,1000,mL,missing: not collected,8.2,missing: not collected,missing: not collected,missing: not collected,missing: not collected,29.8,missing: not collected,missing: not collected,not applicable,missing: not provided,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,not applicable,missing: not collected,missing: not collected,missing: not collected,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister | Matt Galaska,Brown_Training_ExtractionTests_3,not applicable,not applicable,not applicable,2022-02-03,5.1,ng/µL,0.51,ng DNA/mL seawater,2.24,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Nanodrop,1,missing: not provided,not applicable,,,
