"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes","Latitude","Longitude","Date_UTC_btl","oxy_concM_ch1","oxy_percentsat_ch1","oxy_conc_ch1","salinity_ch1","salinity_ch2","sigma_t_ch1","sigma_t_ch2","chlor_fluorescence","temperature_ch1","temperature_ch2","turbidity","pressure"
"START.NC.SKQ2021",NA,NA,TRUE,"SKQ2021","SKQ21 EcoFOCI DBO",NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,1000,"Matt Galaska",NA,"2021/11/08 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1053.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",1,4,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.8",46,1000,"Matt Galaska",NA,"2021/11/08 22:04:00","67.6766333333333",-168.9495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1054.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",1,10,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.8",30,1000,"Matt Galaska",NA,"2021/11/08 22:04:00","67.6766333333333",-168.9495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1055.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",1,16,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.8",10,1000,"Matt Galaska",NA,"2021/11/08 22:04:00","67.6766333333333",-168.9495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1056.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",2,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.1",49,1000,"Matt Galaska",NA,"2021/11/10 02:39:00","71.19315",-160.264733333333,"71.1935","-160.26483333333334","2021/11/10 02:43:21","6.2981","74.99","274.119","32.46","32.4604",26.0985,26.0991,"0.1966","-1.1147","-1.1261",NA,"49.348"
"E1057.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",2,8,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.1",30,1000,"Matt Galaska",NA,"2021/11/10 02:39:00","71.19315",-160.264733333333,"71.1935","-160.26483333333334","2021/11/10 02:43:21","7.5233","91.819","327.91","30.7279","30.7226",24.6469,24.6428,"0.3949","0.2772","0.2745",NA,"30.177"
"E1058.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",2,14,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.1",10,1000,"Matt Galaska",NA,"2021/11/10 02:39:00","71.19315",-160.264733333333,"71.1935","-160.26483333333334","2021/11/10 02:43:21","7.5784","92.471","330.31","30.7272","30.7227",24.6467,24.6431,"0.3726","0.2692","0.2665",NA,"9.922"
"E1059.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",3,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.2",43,1000,"Matt Galaska",NA,"2021/11/10 04:55:00","71.3218",-160.656666666667,"71.32183333333333","-160.65683333333334","2021/11/10 04:54:19","6.48","77.396","282.047","32.4094","32.4049",26.0534,26.05,"0.0923","-0.985","-0.9894",NA,"43.305"
"E1060.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",3,6,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.2",30,1000,"Matt Galaska",NA,"2021/11/10 04:55:00","71.3218",-160.656666666667,"71.32183333333333","-160.65683333333334","2021/11/10 04:54:19","6.6831","81.643","291.016","31.9058","31.9097",25.6089,25.6123,"0.0339","-4.0E-4","-0.006",NA,"30.387"
"E1061.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",3,11,"Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.2",10,1000,"Matt Galaska",NA,"2021/11/10 04:55:00","71.3218",-160.656666666667,"71.32183333333333","-160.65683333333334","2021/11/10 04:54:19","8.0981","98.183","352.974","30.664","30.6593",24.6053,24.6016,"0.1691","0.043","0.0427",NA,"10.251"
